parameters,dist_min,dist_max,weights,initialGuess,OF:452.31040022446535,OF:455.4880670488994,OF:473.13738753897763,OF:452.0191486318765,OF:468.70938179519135,OF:469.6908782730787
nmax0,1.0,10.0,1.0,5.0,1.8458458890425113,1.8333822897326715,6.856926228327311,1.8929194627626118,2.328957998676631,2.5624933710684483
nmax1,0.1,15.0,1.0,0.5,0.8115311469426638,14.38055679568902,0.48087771465990037,3.128880826271838,9.538771885524541,4.67388469742424
nmax2,0.1,15.0,1.0,1.35,0.6528049672685544,0.6874075401185441,0.7265701237071476,0.7646044838572253,0.7375314539782925,0.7040841394966612
nmax3,1.0,10.0,1.0,2.1,2.1,8.157799034587423,2.473466937473889,4.634941747063384,6.277568058969015,5.232419142335929
