parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
o1,6.35,10.139899253845215,5.987007284164429,10.007569599151612,10.294277763366699,9.1189546585083,9.744402313232422,10.288000869750977,7.03185920715332,10.039466857910156,10.373034763336182
o2,24.34,24.762019920349122,1.3705302000045776,24.336223602294922,18.905467796325684,12.186515998840331,16.395505714416505,17.84820976257324,0.06292098052799702,24.926644134521485,25.319795227050783
o3,0.17,7.310394668579102,0.37520240545272826,7.18113112449646,5.58287205696106,3.607403206825256,4.842772722244263,5.279153442382812,0.011939978692680597,7.3539753437042235,7.44585394859314
o4,0.72,0.1799549326300621,0.17133414149284362,0.18481774181127547,0.18047004491090773,0.12080283090472221,0.18778320848941804,0.18098306506872178,0.1824525624513626,0.18081339746713637,0.1785708799958229
o5,2.48,2.138235068321228,2.025911831855774,2.0002246141433715,2.2179524421691896,1.1123614626740164e-6,2.07265567779541,2.14784779548645,2.3140691757202148,2.1407949209213255,2.225398397445679
o6,0.01,0.3133793920278549,0.3060339391231537,0.2969819515943527,0.3260504126548767,2.3800189228495584e-5,0.3089711844921112,0.3159759879112244,0.3398448944091797,0.31382588148117063,0.32552642524242403
o7,0.7,0.3043247997760773,0.3039150834083557,0.30053273439407346,0.3041474938392639,0.29776078164577485,0.2737273871898651,0.30398196280002593,0.30527142286300657,0.3036625742912292,0.3038439005613327
o8,9.45,9.591090774536132,10.212864971160888,9.095571422576905,9.940842533111573,9.355283641815186,3.209480381011963,9.731005096435547,10.104826831817627,9.596843147277832,9.95601167678833
o9,0.03,1.0349673867225646,1.0988826036453248,0.9799841463565826,1.0726545214653016,1.009941828250885,0.34453828930854796,1.0500231742858888,1.0904519200325011,1.035572636127472,1.074031376838684
o10,1.61,1.2813238143920898,1.318388617038727,1.2782188773155212,1.2966635465621947,1.2892061710357665,1.2844607353210449,1.2777870655059815,1.3153087496757507,1.2823644399642944,1.296112883090973
