parameters,dist_min,dist_max,weights,initialGuess,OF:79374.12749076111,OF:1.3864930663203124e6,OF:215858.7767898701,OF:34560.09475212739,OF:10508.163212062651,OF:74913.36498463382,OF:44314.74507601931,OF:10586.071905883111,OF:316586.2600491153,OF:11260.950565204175
cfall00,1.0e-5,0.2,1.0,0.0018,2.5831601201586186e-5,0.05151924827056196,1.3975037047849139e-5,0.017231095868456704,0.0266163140724156,0.01575407726377424,0.008563207645389075,0.026313870658594495,0.009293196839820772,0.026226885864224135
cfall01,1.0e-5,0.2,1.0,0.065,0.17964504442248014,0.0009208353898362125,6.65571307563288e-5,2.122241836547428e-5,5.527685033853115e-5,6.640435513802627e-5,3.627553984162878e-5,4.25407565982759e-5,9.70901935020783e-5,6.442187261400789e-5
cfall02,1.0e-5,0.2,1.0,0.074,1.0098338337304103e-5,0.0015312067365529799,2.648872757096937e-5,0.0005188185585690421,0.00039034627480317194,0.035564247312718844,0.000579121940592467,3.57671848950234e-5,3.609087008954978e-5,0.015569399334745429
cfall03,1.0e-5,0.2,1.0,0.014,0.013577644477742333,4.159316403331649e-5,0.09980484285351499,0.01566147229411022,0.013454384336550967,0.019764357900270046,0.011618260860685597,0.012643011791506469,1.0977406970662658e-5,0.012205985032935802
cfall10,1.0e-5,0.2,1.0,0.0045,0.004235349407868059,1.7675509813255047e-5,0.003939307157329216,0.0003922347491599643,2.8272316557912065e-5,1.1414283914090096e-5,0.002522207573531007,9.589843164415623e-5,0.0026538106326442473,4.174026825993474e-5
cfall11,1.0e-5,0.2,1.0,0.0033,0.00019416567550203717,4.6763071217828834e-5,1.8700672800499297e-5,0.007145336512806937,0.009661224822564212,1.001486297494226e-5,0.009375028941036171,0.009484222486572777,1.8274914140371494e-5,0.009390143844318376
cfall12,1.0e-5,0.2,1.0,0.004,0.00452157150239665,0.08691520691044896,0.008990046209633605,0.0044062988779919356,0.004028909280711222,0.003629583772002808,0.004449319053331976,0.004063531231524812,0.0038863952051374387,0.003852605721856127
cfall20,1.0e-5,0.09,1.0,0.013,0.006888912240116837,0.00015416167857972696,0.01593684293475435,0.0019022889466970198,0.001548819240931334,0.001512184622863083,0.004725664030948636,0.0016440560592604378,0.08948435377993166,0.0015638306753800707
cfall21,1.0e-5,0.09,1.0,0.0029,4.7195886716373604e-5,4.939943079668806e-5,1.2085776231714446e-5,0.026082436829017917,0.005006503354800261,0.0001799766335369055,0.00512726284591618,0.004333420665417033,1.4651284181961316e-5,0.0549715243108866
cfall22,1.0e-5,0.09,1.0,0.023,0.001070269540146055,0.0001550216116016923,1.0479740093523364e-5,0.0008469125081924609,0.0012204528284494676,0.012249259054790913,0.003584869665315561,0.0011023998559613539,0.0015117760116431377,0.0007949173055879441
