parameters,observation,model
o1,293.76,565.2774780273437
o2,1796.32,1803.91318359375
o3,404.48,219.74794311523436
o4,15.13,7.4308332920074465
o5,100.16,101.02493743896484
o6,15.07,8.87144594192505
o7,9.06,4.284741401672363
o8,333.75,334.3643737792969
o9,44.8,6.7192254066467285
o10,180.85,190.0590805053711
