parameters,dist_min,dist_max,weights,initialGuess,OF:0.002161021454992913,OF:0.002161021454992913_1
cmax0,0.1,500.0,100.0,381.19,381.1905427919935,381.1905427919935
cmax1,0.1,200.0,100.0,113.93,113.93172631206562,113.93172631206562
cmax2,0.1,300.0,100.0,207.08,207.07615930709602,207.07615930709602
cmax3,0.1,200.0,100.0,93.31,93.3126027602342,93.3126027602342
