parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19
o1,153.04,131.31236103088594,131.1071468481561,131.4636085716542,131.54443562375383,131.46740519246086,131.41617175089195,131.1704150900012,131.41226207122673,131.4039465711452,131.36917036743836,131.50671295905485,131.3356453356333,131.41813871213236,131.11374611184002,131.4088104055496,131.15109654488043,131.1195737014059,131.45582331817133,131.10270245692226,131.27964997221716
o2,12.27,11.121418372599873,11.111674644844607,11.120957705937325,11.121664690738545,11.122565059398767,11.120296300842892,11.115281910309568,11.119413729256484,11.118588702415583,11.120591832662466,11.122256383136847,11.133907361142338,11.119966654083692,11.114760850265156,11.119909088464919,11.115454172389581,11.115348476811779,11.121727030433249,11.11194193852134,11.116687589266803
o3,17.36,23.454855227936058,20.702101925201713,18.752606561873108,18.677406987734138,18.829224207717925,18.75428712936118,18.9660193589516,18.758068838343025,19.029247778467834,23.695606382377445,18.696366503834724,24.667646224889904,18.711239851266146,19.908426219411194,18.74928344786167,19.028626959491522,19.060868937429042,19.04728663228452,20.714436611719428,19.421349438559265
o4,27.1,29.321058010309933,29.313699148595333,29.317066270112992,29.31758719459176,29.31719929277897,29.316764255613087,29.314031145721675,29.316082105785608,29.316510073840618,29.322234037518502,29.31679825782776,29.323578714579345,29.31675684377551,29.313248466700315,29.316605706512927,29.31522442623973,29.312248115241527,29.31683150678873,29.313614638894798,29.314657665789127
