parameters,dist_min,dist_max,weights,initialGuess,OF:470.7977606733503,OF:502.1298721604221,OF:472.56582305356255,OF:468.4075575065271,OF:472.5415016986344,OF:472.66514942859686
nmax0,1.0,25.0,1.0,15.0,3.5838477548970626,2.1066696712981074,4.4448938356695455,2.322440313597449,23.441709329371697,17.026739903689304
nmax1,0.1,15.0,1.0,0.5,1.428314598275198,2.965554429751464,14.908705450053747,14.150013663718623,14.94324622528865,2.4427442006512
nmax2,0.1,15.0,1.0,1.35,0.7195036954514639,1.5475477082258995,0.799621391028331,0.6934518012667005,0.6405075103825245,0.6947529758517192
nmax3,1.0,10.0,1.0,2.1,2.1,8.157799034587423,2.473466937473889,4.634941747063384,6.277568058969015,5.232419142335929
