parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
o1,6.35,13.164098072052003,12.810068225860595,13.160200119018555,13.164726257324219,13.102243041992187,13.151304054260255,13.17348861694336,13.172225666046142,13.144222831726074,13.145453453063965
o2,24.34,21.296567916870117,22.558417320251465,18.869718551635742,21.30930805206299,19.288104438781737,23.628094291687013,20.395329856872557,20.139982795715333,22.26322021484375,23.962681388854982
o3,0.17,3.5189263343811037,3.7402299880981444,3.105974268913269,3.5199105978012084,3.1473748683929443,3.914021682739258,3.3646066904067995,3.3297515392303465,3.6729820728302003,3.9666240215301514
o4,0.72,0.37030903398990633,0.0007469265896361321,0.3690931499004364,0.37035981118679046,0.3336539030075073,0.36635508239269254,0.37004576027393343,0.370652773976326,0.3699048697948456,0.3620501756668091
o5,2.48,3.1885241508483886,0.001098871190333739,1.2919641137123108,3.329405665397644,1.096615982055664,2.3970962524414063,3.348483514785767,3.3313684701919555,3.2872965335845947,3.0385257720947267
o6,0.01,0.2563785403966904,1.7711372856865636e-5,0.10356417521834374,0.26765052378177645,0.08743521794676781,0.19319355487823486,0.2691099762916565,0.2678070515394211,0.26437005698680877,0.24444801807403566
o7,0.7,0.36931997537612915,0.000986144144553691,0.3748257279396057,0.3665982574224472,0.3748288691043854,0.31752440333366394,0.3680169522762299,0.37592232823371885,0.3692683666944504,0.3656666845083237
o8,9.45,9.861382579803466,0.006988520966842771,12.298496723175049,8.720619678497314,12.324247741699219,5.48751220703125,10.418930149078369,12.729119873046875,10.23636589050293,11.954210758209229
o9,0.03,0.15977363735437394,2.7193111236556433e-5,0.20049588829278947,0.1431148812174797,0.20090907216072082,0.086017207801342,0.17251932471990586,0.20694772899150848,0.16623160988092422,0.19459764659404755
o10,1.61,1.4864294171333312,1.4668153166770934,1.4855098366737365,1.52136390209198,1.4924835681915283,1.4980836868286134,1.5219084858894347,1.5216969013214112,1.508632528781891,1.52401602268219
