parameters,dist_min,dist_max,weights,initialGuess,OF:46170.55631606995
cfall00,1.0e-5,0.2,1.0,0.0018,0.007957660883021493
cfall01,1.0e-5,0.2,1.0,0.065,0.06352183221467295
cfall02,1.0e-5,0.2,1.0,0.074,0.07085893707287273
cfall03,1.0e-5,0.2,1.0,0.014,0.011209902132674417
cfall10,1.0e-5,0.2,1.0,0.0045,0.00263648357023302
cfall11,1.0e-5,0.2,1.0,0.0033,0.0036228377673491186
cfall12,1.0e-5,0.2,1.0,0.004,0.004703269442656942
cfall20,1.0e-5,0.09,1.0,0.013,0.004897910975820334
cfall21,1.0e-5,0.09,1.0,0.0029,0.002836190213046915
cfall22,1.0e-5,0.09,1.0,0.023,0.022686247346716343
