parameters,dist_min,dist_max,weights,initialGuess,OF:468.97161643122644,OF:505.3327706098722,OF:484.71285825184754,OF:478.5748996399646,OF:476.6102763543569,OF:474.213787773148,OF:473.7289755624614,OF:473.02624538633165,OF:486.59262529821825,OF:475.79569226837964,OF:474.419140382937,OF:473.47008741074615,OF:475.91120538966936,OF:474.8357832669328,OF:475.8616661825477,OF:476.58234652022134,OF:486.9700069961056,OF:470.22495086330537,OF:476.30382475961557,OF:476.6237269467152,OF:515.4898938616261,OF:498.4618742076729,OF:473.7157011449837,OF:470.03121597278783,OF:473.7680461496208,OF:475.7698471068446,OF:487.0933500978582,OF:475.94851305844975,OF:477.1438610058204,OF:516.0242284485813,OF:471.6998361462657,OF:530.7157135287606,OF:475.5673222885837,OF:493.48813203226433,OF:476.0745217325031,OF:488.1486057241487,OF:489.62530611779715,OF:474.95649195401114,OF:498.7384567188532,OF:483.9968329328668
nmax0,1.0,50.0,1.0,2.95,30.094846661106047,26.156284163247193,24.257115412335537,45.13337337495715,47.50097804546266,49.58950821945852,30.49024188617786,49.557148349314666,19.946519282015032,40.382584405700754,44.56504712093639,37.694296874950126,49.3399776514557,49.998828010953915,41.438980396858724,44.49150699936771,4.050713534939813,33.53949260389362,30.193107768153492,46.86135130381777,42.18257137068853,43.793177609857246,42.16988215508273,32.24121692821768,41.091610296424484,49.94818987315459,7.171457507292043,44.30773021688213,48.46430325248949,27.771849427941948,35.73288440479301,15.544386831292629,49.73115800891352,2.2355101863578066,47.26287237531993,6.610021029373228,15.635736800772468,29.41116428918099,49.66414035351378,42.26751921823879
nmax1,1.0,50.0,1.0,1.45,49.36683068911997,1.0316218565139905,35.779070421655106,31.617068234450485,41.78112920750141,5.589344723220347,24.150212664833774,2.3229933903407085,34.85002511883897,49.88874892820677,8.606741612868671,33.785590885137516,24.244248497175665,5.397709741486757,41.65459567014361,49.01111931837238,28.097226998794746,45.79336803772863,21.942955734686606,34.66707657647815,47.57137380529202,49.79672502561656,2.5866137412813517,49.45728453908492,7.242870907452233,5.724947624510402,35.90219790423487,25.658709562789838,1.9903760645941717,49.77327202338886,48.88347147298117,43.607674936607204,17.38889756268911,8.43226858698171,16.439746876926755,23.61278759006863,4.6820294862846215,39.622264901904025,7.752178389840861,26.52545839143483
nmax2,1.0,50.0,1.0,1.07,1.0007282510593076,1.602646417531445,1.063824045539196,1.0290200251424737,1.0067661564771104,1.000795600755476,1.0084089076229326,1.0002489859031827,1.0218220803541587,1.0032108326077376,1.0237427031437942,1.0037808704399698,1.0103225214301843,1.007007604020328,1.0000314809545015,1.008567715296708,1.0345994926512758,1.0090148382751885,1.0348523419347808,1.0014835265473667,2.2051497005178886,1.436226272671569,1.0018247232272461,1.0002039090162913,1.0250357350661696,1.0043367770816507,1.0006651914461697,1.0088132614979846,1.0699514914048622,2.3186371614955155,1.000063019630618,2.7140029101367187,1.0000485281721558,1.1855629033451411,1.0056826020985412,1.0073277119801356,1.0002264829012928,1.0776016094904965,1.413522126386773,1.1701359730613548
nmax3,1.0,50.0,1.0,2.1,7.580859333977167,34.11963225708353,40.42085565921467,19.695342092852993,38.7028238699442,7.560066450834301,27.891205107078743,16.301954679148032,35.75318051046023,30.78062607592611,24.00450508471964,1.6426056499664026,36.10936674278245,39.566191821287255,35.35213074872739,41.036311834037335,27.72534741485834,33.98800329736658,38.026019349406916,34.05127552866448,35.47621200629857,6.195136829460604,15.42520122626676,23.616244617306876,12.08221162706487,11.210631888321132,41.61485292040522,9.040272785461172,42.53067557508023,34.81487431106566,46.500965427494535,23.315869515401662,19.622665911718798,36.66486364353955,17.3639853917961,3.9026298363129035,11.956069384277047,23.18629037002668,26.51421026276952,41.895356065954985
