parameters,dist_min,dist_max,weights,initialGuess,OF:468.97161643122644,OF:505.3327706098722,OF:484.71285825184754,OF:478.5748996399646,OF:476.6102763543569,OF:474.213787773148,OF:473.7289755624614,OF:473.02624538633165,OF:486.59262529821825,OF:475.79569226837964,OF:474.419140382937,OF:473.47008741074615,OF:475.91120538966936,OF:474.8357832669328,OF:475.8616661825477,OF:476.58234652022134,OF:486.9700069961056,OF:470.22495086330537,OF:476.30382475961557,OF:476.6237269467152
nmax0,1.0,50.0,1.0,2.95,30.094846661106047,26.156284163247193,24.257115412335537,45.13337337495715,47.50097804546266,49.58950821945852,30.49024188617786,49.557148349314666,19.946519282015032,40.382584405700754,44.56504712093639,37.694296874950126,49.3399776514557,49.998828010953915,41.438980396858724,44.49150699936771,4.050713534939813,33.53949260389362,30.193107768153492,46.86135130381777
nmax1,1.0,50.0,1.0,1.45,49.36683068911997,1.0316218565139905,35.779070421655106,31.617068234450485,41.78112920750141,5.589344723220347,24.150212664833774,2.3229933903407085,34.85002511883897,49.88874892820677,8.606741612868671,33.785590885137516,24.244248497175665,5.397709741486757,41.65459567014361,49.01111931837238,28.097226998794746,45.79336803772863,21.942955734686606,34.66707657647815
nmax2,1.0,50.0,1.0,1.07,1.0007282510593076,1.602646417531445,1.063824045539196,1.0290200251424737,1.0067661564771104,1.000795600755476,1.0084089076229326,1.0002489859031827,1.0218220803541587,1.0032108326077376,1.0237427031437942,1.0037808704399698,1.0103225214301843,1.007007604020328,1.0000314809545015,1.008567715296708,1.0345994926512758,1.0090148382751885,1.0348523419347808,1.0014835265473667
nmax3,1.0,50.0,1.0,2.1,7.580859333977167,34.11963225708353,40.42085565921467,19.695342092852993,38.7028238699442,7.560066450834301,27.891205107078743,16.301954679148032,35.75318051046023,30.78062607592611,24.00450508471964,1.6426056499664026,36.10936674278245,39.566191821287255,35.35213074872739,41.036311834037335,27.72534741485834,33.98800329736658,38.026019349406916,34.05127552866448
