parameters,observation,model
o1,6.35,13.142056560516357
o2,24.34,23.94856491088867
o3,0.17,3.956492018699646
o4,0.72,0.36720739006996156
o5,2.48,3.074110007286072
o6,0.01,0.24825263172388076
o7,0.7,0.34511240720748904
o8,9.45,9.549205207824707
o9,0.03,0.15540021806955337
o10,1.61,1.5235035061836242
