parameters,observation,model,model_1,model_2,model_3,model_4
o1,153.04,131.97042466851417,131.5292850886937,131.9592326712562,131.59419971609023,131.61442708340473
o2,12.27,11.113259451235354,10.647287833271548,11.12143245023908,11.119381516170687,11.117795326781925
o3,17.36,15.051573914289474,15.653729305323214,16.17842366970144,15.759260513959452,15.259381330525503
o4,27.1,29.312279979884625,29.309519650042056,29.314738680422305,29.3137619972229,29.312584250420333
