parameters,dist_min,dist_max,weights,initialGuess,OF:108842.87619423417,OF:116475.4330315105,OF:108824.58635716153,OF:133189.1853315418,OF:132093.30819248172,OF:109163.00609623097,OF:147744.57815285903,OF:246662.26351206764,OF:149516.58395449264,OF:121444.69465928647,OF:1.107661143864513e6
nmax0,2.0,25.0,1.0,5.0,-18.40013398026514,-41.41570583488547,-18.400401030779264,-74.76882599889416,-64.66052038877947,-60.32693228078948,-88.47639864291669,-39.457306006174264,-49.88541655746126,-68.86563925304608,-65.31548712438217
nmax1,0.1,5.0,1.0,0.5,-12.449980532830516,-3.0181767982510603,-12.449437302717328,-53.3702162564913,-57.016110477884375,-24.856888474214777,-30.693827476405296,-28.736537174802574,-37.74855072565586,-33.89949269549648,-23.064258124979553
nmax2,0.1,5.0,1.0,0.95,-9.34843283657877,-12.340019733057089,-9.365618252368606,-44.818142420806836,-42.36687506074737,-36.21408196346438,-36.07782577248008,-44.88837643328827,-39.35744745858476,-16.187656072741518,-11.899490699309041
nmax3,1.0,10.0,1.0,2.1,-4.9305431232147745,-6.569671444039442,-4.903161039554531,-18.748868367577735,-6.79868934196627,-4.768763784638804,-4.003172691656818,-18.934253983628455,-3.356435595952366,-19.015478242931234,-4.857342605323922
krb00,-90.0,-8.0,1.0,-18.4,-4.942271561541083,-4.906349682212429,-4.943323653317343,-4.919758258521327,-4.9500520796848075,-4.9528823554011705,-5.040833156984707,-4.9211684228884724,-4.970140469862718,-4.896648525199165,-3.8183921665480938
krb01,-60.0,-6.0,1.0,-12.45,-4.755726253990587,-5.052649102594628,-4.735199816867343,-4.10677738061721,-6.835218119902759,-4.790921807611111,-5.340606054058929,-19.796580488453355,-5.80251530452302,-15.434590115863692,-16.70022071846407
krb02,-45.0,-4.0,1.0,-9.35,-19.900045385434744,-7.578440722372228,-19.900114589261122,-67.34695693187258,-35.50653356200401,-54.24967299289669,-35.966147879155585,-59.03121796455544,-39.28125321502942,-37.184509607369286,-28.64940498863202
krb03,-20.0,-2.0,1.0,-4.65,-17.20016381130663,-19.918225301811145,-17.204040682671376,-52.12203656880201,-33.52618053706911,-13.869002780708072,-29.387287803503604,-9.258440391324008,-22.436419613124563,-54.0684864903034,-23.301601331252847
krb10,-20.0,-2.0,1.0,-4.88,-12.199718673891715,-11.056633663735912,-12.194316751818164,-57.73600552625217,-59.98834361193012,-6.789367899220522,-36.485644808138694,-44.28380384226064,-56.5865302250949,-41.44971063889408,-47.56555587664967
krb11,-20.0,-2.0,1.0,-4.9,-14.79998379700329,-10.3988327816915,-14.799482915648731,-68.42151700381528,-48.80721440444917,-63.24961145189048,-59.56302174720533,-35.46731245615997,-56.736495063713726,-57.746444723377586,-5.672886632162616
krb12,-85.0,-7.0,1.0,-19.9,4.993424898653773,8.844787634264677,4.9438901877315,22.54323402515425,17.215715504057762,2.5639019248703443,4.057670571705602,24.962297515179102,7.997326503459899,23.917419474710506,7.185118139099393
krb20,-60.0,-6.0,1.0,-17.2,0.48996602493494423,0.93114627031768,0.48940824013730777,0.41376480649202807,0.42282870363702996,3.8425387629538257,2.450861835995929,3.7585171870548444,3.1026165556631455,0.24405596503140378,0.21442858728895553
krb21,-60.0,-4.0,1.0,-12.2,0.9593725596451365,1.0821132289797597,0.9585183684475231,1.7608875294726376,1.020570360775316,0.9550209324227852,2.722298112409579,3.294628827048526,1.7480878087770382,1.1527333921228036,0.460811964504674
krb22,-70.0,-4.0,1.0,-14.8,2.0999997130637986,6.277568058969016,2.099999101436313,2.065808930232903,9.304674591030588,7.605185747341457,3.9890833222339,1.5638961585529503,2.935363050013957,8.167338921789298,2.6607500712819205
