name,bounds,initial,cmtnum,pftnum
micbnup,"[0.07899999999999996, 1.5010000000000001]",0.79,21,None
kdcrawc,"[0.02149999999999999, 0.4085]",0.215,21,None
kdcsoma,"[0.02579999999999999, 0.4902]",0.258,21,None
kdcsompr,"[0.0007999999999999995, 0.015200000000000002]",0.008,21,None
kdcsomcr,"[4.9999999999999996e-06, 9.5e-05]",5e-05,21,None
