panel,metric,item,value
PFT Comparison,GPP,Sphag,-0.14810100235542467
PFT Comparison,GPP,EverTree,-0.6536040192609057
PFT Comparison,GPP,Sedge,-0.014657039368199565
PFT Comparison,GPP,EricShrub,-0.13543429486818637
PFT Comparison,GPP,Forbs,-0.004178891176539468
PFT Comparison,NPP,Sphag,-0.0459681431255643
PFT Comparison,NPP,EverTree,-0.7403162669097286
PFT Comparison,NPP,Sedge,-0.14186487981523782
PFT Comparison,NPP,EricShrub,-0.7319314715988888
PFT Comparison,NPP,Forbs,0.034064622818572046
PFT Comparison,$C_{leaf}$,Sphag,-0.03776453921669398
PFT Comparison,$C_{leaf}$,EverTree,-0.2230431420708957
PFT Comparison,$C_{leaf}$,Sedge,-0.052109803984823976
PFT Comparison,$C_{leaf}$,EricShrub,-0.09331921534906877
PFT Comparison,$C_{leaf}$,Forbs,0.0005870270729064972
PFT Comparison,$C_{stem}$,Sphag,-0.7507316142634342
PFT Comparison,$C_{stem}$,EverTree,-0.12835902487761094
PFT Comparison,$C_{root}$,Sphag,-0.22599012269001256
PFT Comparison,$C_{root}$,EverTree,-0.13150267473366847
PFT Comparison,$C_{root}$,Sedge,-0.16812120204693395
PFT Comparison,$C_{root}$,EricShrub,-0.1418900806025455
PFT Comparison,$N_{leaf}$,Sphag,-0.007953542556488918
PFT Comparison,$N_{leaf}$,EverTree,-0.06669286893832199
PFT Comparison,$N_{leaf}$,Sedge,-0.9806248535665029
PFT Comparison,$N_{leaf}$,EricShrub,-0.034954522210552084
PFT Comparison,$N_{leaf}$,Forbs,0.0016558590438662465
PFT Comparison,$N_{stem}$,Sphag,-0.3024757892499415
PFT Comparison,$N_{stem}$,EverTree,-0.020131817332615983
PFT Comparison,$N_{root}$,Sphag,-0.09235399000738798
PFT Comparison,$N_{root}$,EverTree,-0.3621750926253838
PFT Comparison,$N_{root}$,Sedge,-0.013742669841996511
PFT Comparison,$N_{root}$,EricShrub,-0.07102254572721048
Soil Comparison,Soils,SHLWC,0.01862005270886645
Soil Comparison,Soils,DEEPC,0.35067911190705736
Soil Comparison,Soils,MINEC,-0.22088338522485063
Soil Comparison,Soils,AVLN,-1.6628834151525319e-06
