name,bounds,initial,cmtnum,pftnum
cfall(0),"[0.010999999999999996, 0.077]",0.044,5,0
cfall(0),"[0.022375000000000006, 0.156625]",0.0895,5,1
cfall(0),"[0.02149999999999999, 0.1505]",0.086,5,2
cfall(0),"[0.022749999999999992, 0.15925]",0.091,5,3
cfall(0),"[0.012249999999999997, 0.08575]",0.049,5,4
cfall(0),"[0.0017499999999999998, 0.01225]",0.007,5,5
cfall(0),"[0.00375, 0.02625]",0.015,5,6
cfall(0),"[0.0017499999999999998, 0.01225]",0.007,5,7
cfall(1),"[1.2499999999999999e-05, 8.750000000000001e-05]",5e-05,5,0
cfall(1),"[4.25e-05, 0.0002975]",0.00017,5,1
cfall(1),"[5.500000000000001e-05, 0.00038500000000000003]",0.00022,5,2
cfall(2),"[1.2499999999999999e-05, 8.750000000000001e-05]",5e-05,5,0
cfall(2),"[4.9999999999999996e-05, 0.00035000000000000005]",0.0002,5,1
cfall(2),"[5.500000000000001e-05, 0.00038500000000000003]",0.00022,5,2
cfall(2),"[9.999999999999999e-05, 0.0007000000000000001]",0.0004,5,3
cfall(2),"[7.499999999999998e-05, 0.000525]",0.0003,5,4
