time,TLAYER
2012-09,2.63803681
2012-10,-2.024539877
2012-11,-4.662576687
2012-12,-5.153374233
2013-01,-3.803680982
2013-02,-4.846625767
2013-03,-4.90797546
2013-04,-3.926380368
2013-05,-0.306748466
2013-06,6.257668712
2013-07,6.932515337
