panel,metric,item,value
PFT Comparison,GPP,EverTree,0.1086768632087568
PFT Comparison,GPP,DecidShrub,0.004935839320503621
PFT Comparison,GPP,DecidTree,0.014150401575451027
PFT Comparison,GPP,Moss,0.01792486311265562
PFT Comparison,NPP,EverTree,-0.009641371584757974
PFT Comparison,NPP,DecidShrub,0.0022114992084457524
PFT Comparison,NPP,DecidTree,0.012040190472313653
PFT Comparison,NPP,Moss,-0.018564457134415846
PFT Comparison,$C_{leaf}$,EverTree,0.05676679509066428
PFT Comparison,$C_{leaf}$,DecidShrub,-0.002084954011020614
PFT Comparison,$C_{leaf}$,DecidTree,-0.000904483714710014
PFT Comparison,$C_{leaf}$,Moss,0.07394240416908335
PFT Comparison,$C_{stem}$,EverTree,0.25352798439448465
PFT Comparison,$C_{stem}$,DecidShrub,0.013174071415444896
PFT Comparison,$C_{stem}$,DecidTree,0.04180482316674759
PFT Comparison,$C_{root}$,EverTree,0.05688844393509118
PFT Comparison,$C_{root}$,DecidShrub,-0.0035260038611465176
PFT Comparison,$C_{root}$,DecidTree,-0.012839093748267088
PFT Comparison,$N_{leaf}$,EverTree,0.03297859960147549
PFT Comparison,$N_{leaf}$,DecidShrub,-0.004456500678381913
PFT Comparison,$N_{leaf}$,DecidTree,7.256583367150349e-06
PFT Comparison,$N_{leaf}$,Moss,0.031627538543539224
PFT Comparison,$N_{stem}$,EverTree,0.559840408974398
PFT Comparison,$N_{stem}$,DecidShrub,0.01050131306008243
PFT Comparison,$N_{stem}$,DecidTree,0.04046224742709023
PFT Comparison,$N_{root}$,EverTree,0.16951382615706398
PFT Comparison,$N_{root}$,DecidShrub,0.0018912106082990144
PFT Comparison,$N_{root}$,DecidTree,0.0020377330383291063
Soil Comparison,Soils,SHLWC,0.011096059704109047
Soil Comparison,Soils,DEEPC,0.03924703260192684
Soil Comparison,Soils,MINEC,-0.13409107662502362
Soil Comparison,Soils,AVLN,0.0002349958966457403
