panel,metric,item,value
PFT Comparison,GPP,BlacSprus,-0.028295482584647202
PFT Comparison,GPP,Moss,0.27179807163309966
PFT Comparison,GPP,Shrub,0.004317124836786368
PFT Comparison,GPP,Lichen,0.038137791906832974
PFT Comparison,GPP,Sedge,0.0047165678942363495
PFT Comparison,NPP,BlacSprus,-0.562722812401709
PFT Comparison,NPP,Moss,0.4068004139505661
PFT Comparison,NPP,Shrub,-0.4920887461114105
PFT Comparison,NPP,Lichen,0.061043536103133234
PFT Comparison,NPP,Sedge,0.015994141644282783
PFT Comparison,$C_{leaf}$,BlacSprus,-0.022839024809968092
PFT Comparison,$C_{leaf}$,Moss,0.15333585170927203
PFT Comparison,$C_{leaf}$,Shrub,-0.004919883086240435
PFT Comparison,$C_{leaf}$,Lichen,-0.001874320977461652
PFT Comparison,$C_{leaf}$,Sedge,0.0031125392789940545
PFT Comparison,$C_{stem}$,BlacSprus,-0.2408565368295765
PFT Comparison,$C_{stem}$,Moss,-0.040153900501761014
PFT Comparison,$C_{root}$,BlacSprus,-0.6016651233597162
PFT Comparison,$C_{root}$,Moss,-0.05825545297923474
PFT Comparison,$C_{root}$,Shrub,0.020424027420136978
PFT Comparison,$N_{leaf}$,BlacSprus,-0.03283413481554742
PFT Comparison,$N_{leaf}$,Moss,0.07027835452056928
PFT Comparison,$N_{leaf}$,Shrub,-0.004170274411326134
PFT Comparison,$N_{leaf}$,Lichen,0.05452144000613757
PFT Comparison,$N_{leaf}$,Sedge,0.0011200486776768836
PFT Comparison,$N_{stem}$,BlacSprus,-0.14614557356733998
PFT Comparison,$N_{stem}$,Moss,-0.014139739182040518
PFT Comparison,$N_{root}$,BlacSprus,-0.609819412687451
PFT Comparison,$N_{root}$,Moss,-0.04249831608781712
PFT Comparison,$N_{root}$,Shrub,0.011871785443281498
Soil Comparison,Soils,SHLWC,-0.03248036892824009
Soil Comparison,Soils,DEEPC,-0.18577208562352426
Soil Comparison,Soils,MINEC,-0.29794310364039267
Soil Comparison,Soils,AVLN,-9.872866846034485e-05
