Obs	nmax0	nmax1	nmax2	nmax3	krb00	krb01	krb02	krb03	krb10	krb11	krb12	krb20	krb21	krb22	cfall00	cfall01	cfall02	cfall03	cfall10	cfall11	cfall12	cfall20	cfall21	cfall22
o1	0.0	-1.2110044078639248e-8	1.7709226152184954e-6	0.0	-0.000418085690592207	1.6626399368391276e-7	0.0015467249003786598	0.03448392656320243	-0.793125644603585	0.00011785427283639295	6.401085887786095e-5	-0.001341451297407481	0.0312924229824163	0.0962407186614378	0.00082278821356363	0.0005581817573618864	0.06377620050248112	0.006361072456613214	0.09465658362342477	-0.0001239708932576633	-0.00018371939561667716	2.684169631672617e-5	-0.0009832745388060893	-0.010573443080739153
o2	0.0	-2.7939677238464355e-8	0.00014788470867443948	0.0	3.885477681819793e-6	-0.0009048245082610151	0.041508750632317515	0.7678769764339322	0.0023157912039195594	-3.1603604716496037	0.0036457580478810314	3.769994201263671e-6	-34.18448540762988	13.216278725185509	-0.0005738483699246899	0.2228152283850804	1.4249255710661757	0.12865855983978491	-0.0006670225367244598	2.360593082538678	-0.01270605097253963	1.838430314649031e-6	10.4812224412807	-0.6618099215294748
o3	0.0	-0.0006313658087719887	-0.0029873212628217516	0.0	-0.0008068821335882603	-0.00044018283404057	-5.095686861197919	9.721393508894494	-0.1922273511883077	-0.8012331192730926	-2.6272314619563986	-0.0008507792085765686	-103.99500939881591	-789.3801364144605	-0.0025937052561175733	0.4194569333628806	111.93327882842254	1.635044777940493	-0.014689030737145004	0.6877521843125579	1.3737791791788823	-0.000500044174600589	9.582811023806812	181.98518241257943
o4	0.0	-4.470348369256527e-8	4.484318194553083e-7	0.0	-4.470348369256527e-8	-5.960464510845753e-8	0.00044201174750901906	-1.7481705963145944	8.871196768844847e-6	2.7444330044090748e-5	1.7637852579022173e-5	-1.490116141589226e-8	0.0120706409215926	0.029773077811113824	-1.0371441022671846e-6	0.00011164462193846703	0.01899973547551781	0.2016252857283685	-9.493669494986534e-7	-3.4424709156599675e-5	-6.789807230345168e-6	-2.235174212383839e-8	-0.0002434373600412876	-0.0022360426373779774
o5	0.0	0.0	0.0	0.0	-3.5762786865234375e-5	0.0	0.0	-0.0011757612228402436	0.0	0.0	0.0	0.0	0.0	-0.0027868747711190522	-0.0063991546630859375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00211548805236772	-0.016323089599610263
o6	0.0	0.0	7.450580596923828e-7	0.0	-0.0001233816146850586	2.980232227667301e-8	0.0004248321056365967	0.009661167860031128	-0.27859622240066495	6.231665611255988e-5	3.334879875194208e-5	-0.00031971931457486225	0.009325921535491832	0.03053024411201477	-0.0034271180629730225	0.00016519427299521716	0.015608996152877697	0.0017632544040679932	-0.5575595200061795	-6.0886144637728457e-5	-9.50992107390247e-5	6.347894668801146e-6	-0.0003134012222288929	-0.0031093060970305286
o7	0.0	1.1920928955078125e-6	6.675720216620108e-6	0.0	-0.0005962848663321196	2.3841857910156246e-6	0.0022215843200701357	0.050160884857177734	-0.984384059906005	0.0001239776611328125	4.22000885036411e-5	-0.006058216094970703	0.026284217834473544	0.13015675544739036	-0.017135620117185724	0.0008618831634521484	0.09165906906128284	0.009263277053834784	0.10491013526916504	-0.00010824203490855666	-0.00043416023254305713	-2.0746368169784524	-0.0008742809295636533	-0.009356260299679953
o8	0.0	0.0	9.5367431640625e-6	0.0	4.7683715642676816e-7	-0.00010871887206498343	0.0004992485046440009	-0.006746292114252483	0.00017213821410955177	0.0004343986511212705	0.0001320838928275947	-9.536743128535364e-7	0.0015492439270037297	-0.29531669616699396	-6.1988830513115545e-6	-1.0282607078552264	0.012125015258792615	0.00037670135498046875	-6.675720216620107e-6	-0.00020503997802734375	-0.0008893013000488281	4.768371564267682e-7	-0.01477289199828924	-0.07750892639159623
o9	0.0	-4.768371653085524e-7	3.9577484125530304e-5	0.0	-9.536743217353205e-7	-0.0001783370971697451	0.00885343551635387	0.1576414108276314	0.0006914138793945312	-2.5476541519165075	0.00121402740478338	4.768371564267682e-7	-4.680187225341799	2.967099666595452	-0.00014066696166992188	-0.2763223648071289	0.2579326629638601	0.025670051574699926	-0.0001592636108416201	-6.501908302307129	-0.003523826599121094	-4.768371653085524e-7	1.5833735466003418	-0.14026737213135299
o10	0.0	0.0	0.00022125244136361744	0.0	-3.814697322468419e-6	-0.0013618469238707576	0.0655250549316122	1.218009948730412	0.003952026367173289	-0.09002304077149859	0.006450653076157665	0.0	-65.53224563598633	21.22862625122068	-0.0009574890137287184	-2.3276138305664062	2.1599235534667827	0.19962310791015625	-0.0010833740234517109	2.393180847167926	-0.021957397460994343	3.8146972514141457e-6	-31.421337127685547	-0.9406089782714844
