Obs	nmax0	nmax1	nmax2	nmax3	krb00	krb01	krb02	krb03	krb10	krb11	krb12	krb20	krb21	krb22
o1	2.050388502317091e-6	-0.0009344807058375704	-0.0047637880243200925	2.0151765034448485e-7	-0.3166264328319812	-0.0010825725985341705	0.022689755257487842	0.0029317843973331037	-2.3332790199656306	-0.001517584308203812	0.06671421498685937	-0.03705023995735246	0.0008112089271883338	0.07709310583413731
o2	-0.0010704044252562994	10.48754284158349	-0.6119148224534143	-8.265487849712372e-6	-0.0031470460817217827	-2.8609142964705825	-0.2841390874236893	0.3248803541064049	-0.15801583975555644	-31.18187485076486	-7.068836909718819	-0.0008937185630131239	-31.850563978776343	-10.524459138512618
o3	-0.008304089307671347	2.0041212141512688	27.946973085403215	0.00019311904907226562	-0.03640335798252181	1.2833320796488579	-80.38493943214405	12.115385293960799	0.0662046968938057	-17.866397351026535	-853.0671639442443	-0.01365953683830412	-22.41029036045063	-777.499999344349
o4	1.1525116860866547e-6	-0.00019767088815569878	-0.001790977898054047	4.097819306103645e-8	1.951039303116353e-5	-0.0006894156103953719	0.008631946169771476	-1.1372966860653833	-0.0007346243364736438	-0.00041619071271259406	0.024221800500526802	1.94553285814969e-6	4.039867781080453e-5	0.029581546667031833
o5	-3.5762786954052217e-7	2.7656555174893075e-5	-0.0004193782806405366	0.0	-0.05410563945770441	-1.8000602723944326e-5	-0.0004752874374402971	-0.001364707946778232	-0.0015071630477914155	-0.006655931472778764	-0.00029826164245738696	-0.00011873245239435448	-0.0010643005371102632	-0.012742519378663442
o6	2.4795532223009786e-5	-0.012959480285648082	-0.06743049621581676	0.0	-4.305449485778805	-0.014701843261715197	0.30225467681884055	0.039194107055653404	-32.99743890762329	-0.011150360107432533	0.9174175262451101	-0.3405866622924769	0.006443023681637072	1.0222473144531286
o7	8.940696716308594e-7	-0.0011689662933345168	-0.0060012340545645415	1.7881393477026108e-7	-0.38242793083190896	-0.001322805881499578	0.02676880359649747	0.0034790635108949974	-1.908151686191558	-0.0009978413581845924	0.08139580488204956	-0.1742701530456536	0.0005719661712655366	0.09094619750976585
o8	-9.67979431099053e-5	0.530087947845459	-0.0001444816589302178	2.8610229563241774e-6	0.00048589706421076073	-1.035431861877436	0.013533592224126423	0.00316619873046875	0.0009412765502947451	-0.05066394805908203	0.055963993072509766	4.7206878663885725e-5	-0.020703315734857952	0.04665851593017578
o9	-0.002685546875085265	27.147834777832003	-1.7041625976563068	5.340576166190658e-5	-0.013114929199247172	-6.401725769043054	-0.5925979614258381	0.7398071289061647	-0.42529296875002837	-168.1236076354981	-18.289314270019617	-0.0022735595703693434	-58.857593536377024	-27.624710083007926
o10	-0.006195068359318157	74.77572631835955	-4.70335388183571	0.0	-0.039825439453125	-17.572540283202898	-1.537368774413892	1.9712066650390625	-1.1347351074218182	-158.09463500976562	-50.08398437499977	-0.005203247070255657	-260.9862823486327	-75.94444274902344
o11	-0.0011901855469886868	-0.07281494140613631	2.4139099121094887	-9.15527343181566e-5	0.007949829101505657	-2.185165405273324	-41.49923706054693	3.591827392578182	-2.440139770507699	-4.025482177734432	-114.466567993164	0.00024414062494315658	-2.904922485351449	-125.89738464355463
o12	-0.6640625	-9.9560546875	1051.0341796875036	-0.029296875	0.12109375000363798	50.60546875	-2530.0478515625036	174.6162109375109	3.5693359374999996	-447.4003906249891	-38936.79150390624	-0.5224609375	-633.0839843749891	-22950.990234374993
o13	-0.1853027343759095	3.201171874998181	372.9653320312491	-0.0048828125	0.11035156249818101	20.68017578124909	-931.9436035156241	75.82812499999818	2.722656249998181	-174.9836425781268	-9107.888916015627	-0.1718750000009095	-246.3491210937491	-17257.3271484375
o14	4.291534425604482e-6	-0.0038022994995134947	-0.028544425964360798	0.0	0.00016736984252752052	-0.010907173156740058	0.1273427009582484	-17.26395344734192	-0.011630535125730646	-0.005758285522459161	0.3747262954711861	5.245208738458018e-6	-0.001492977142332208	0.43199825286865057
