nmax0 8.52 Inf
nmax1 5.18 9.211596363287035e6
nmax2 29.31 7039.7273596275745
nmax3 3.14 Inf
krb00 -14.93 612190.1720927407
krb01 -14.93 2.0020149228786286e6
krb02 -8.44 1.4599032282359314e6
krb03 -6.8 229.60687467994532
krb10 -3.96 304793.02993227245
krb11 -2.82 1.2058078334964411e6
krb12 -12.93 855559.2911861577
krb20 -13.66 1.8352737754925957e8
krb21 -3.44 85830.22597243874
krb22 -3.74 2330.3799221347695
cfall00 0.0005 26780.56422356602
cfall01 0.0272 147.73629233972693
cfall02 0.035 37066.0092860823
cfall03 0.002 1626.2158062576918
cfall10 0.22 47060.30792152497
cfall11 0.12 369419.32370069384
cfall12 0.005 7467.068074738441
cfall20 0.005 388924.4983285286
cfall21 0.036 154039.90035217628
cfall22 0.004 10189.285264587961
