Obs	nmax0	nmax1	nmax2	nmax3
o1	2.8870999813079834e-6	2.793803158032233	-10.268089777626699	0.0
o2	-0.002499669960798201	142.4497813069297	-62.53932755013466	0.0
o3	-0.008052589037106372	-10065.924996185822	7827.130290707936	0.0
o4	0.0	1.1441580948566354	-4.406902189738844	0.0
