name,bounds,initial,cmtnum,pftnum
krb(0),"[-1.1052, -1.3508]",-1.228,5,0
krb(0),"[-1.78443, -2.18097]",-1.9827,5,1
krb(0),"[-0.43542000000000003, -0.53218]",-0.4838,5,2
krb(0),"[-1.10835, -1.3546500000000001]",-1.2315,5,3
krb(0),"[-1.39509, -1.7051100000000001]",-1.5501,5,4
krb(0),"[-2.73753, -3.34587]",-3.0417,5,5
krb(0),"[-4.06485, -4.96815]",-4.5165,5,6
krb(0),"[-4.44276, -5.43004]",-4.9364,5,7
krb(1),"[-6.889049999999999, -8.41995]",-7.6545,5,0
krb(1),"[-10.545300000000001, -12.8887]",-11.717,5,1
krb(1),"[-5.77647, -7.060130000000001]",-6.4183,5,2
krb(2),"[-7.8197399999999995, -9.557459999999999]",-8.6886,5,0
krb(2),"[-9.88326, -12.079540000000001]",-10.9814,5,1
krb(2),"[-5.17824, -6.3289599999999995]",-5.7536,5,2
krb(2),"[-2.85111, -3.48469]",-3.1679,5,3
krb(2),"[-8.499780000000001, -10.38862]",-9.4442,5,4
cfall(0),"[0.059184, 0.072336]",0.06576,5,0
cfall(0),"[0.053369099999999996, 0.06522889999999999]",0.059299,5,1
cfall(0),"[0.0814446, 0.0995434]",0.090494,5,2
cfall(0),"[0.0727407, 0.0889053]",0.080823,5,3
cfall(0),"[0.055998, 0.068442]",0.06222,5,4
cfall(0),"[0.001593, 0.0019470000000000002]",0.00177,5,5
cfall(0),"[0.0234765, 0.0286935]",0.026085,5,6
cfall(0),"[0.009458099999999999, 0.0115599]",0.010509,5,7
cfall(1),"[7.47e-05, 9.13e-05]",8.3e-05,5,0
cfall(1),"[0.0001377, 0.0001683]",0.000153,5,1
cfall(1),"[0.0003411, 0.0004169]",0.000379,5,2
cfall(2),"[7.290000000000001e-05, 8.91e-05]",8.1e-05,5,0
cfall(2),"[7.38e-05, 9.02e-05]",8.2e-05,5,1
cfall(2),"[9.900000000000001e-05, 0.000121]",0.00011,5,2
cfall(2),"[0.0002718, 0.00033220000000000005]",0.000302,5,3
cfall(2),"[0.0003636, 0.0004444]",0.000404,5,4
micbnup,"[0.675, 0.825]",0.75,5,None
kdcrawc,"[0.135, 0.16499999999999998]",0.15,5,None
kdcsoma,"[0.036000000000000004, 0.044]",0.04,5,None
kdcsompr,"[0.0225, 0.027500000000000004]",0.025,5,None
kdcsomcr,"[2.7e-07, 3.2999999999999996e-07]",3e-07,5,None
