name,bounds,initial,cmtnum,pftnum
nfall(0),"[0.002749999999999999, 0.01925]",0.011,1,0
nfall(0),"[0.006999999999999999, 0.049]",0.028,1,1
nfall(0),"[0.006999999999999999, 0.049]",0.028,1,2
nfall(0),"[0.0022500000000000003, 0.01575]",0.009,1,3
nfall(1),"[0.00025, 0.00175]",0.001,1,0
nfall(1),"[0.00025, 0.00175]",0.001,1,1
nfall(1),"[0.0014999999999999996, 0.0105]",0.006,1,2
nfall(2),"[0.002749999999999999, 0.01925]",0.011,1,0
nfall(2),"[0.002, 0.014]",0.008,1,1
nfall(2),"[0.002, 0.014]",0.008,1,2
