NPP_pft0,NPP_pft1,NPP_pft2,NPP_pft3,NPP_pft4,VEGNSTR_pft0_Leaf,VEGNSTR_pft0_Stem,VEGNSTR_pft0_Root,VEGNSTR_pft1_Leaf,VEGNSTR_pft1_Stem,VEGNSTR_pft1_Root,VEGNSTR_pft2_Leaf,VEGNSTR_pft2_Stem,VEGNSTR_pft2_Root,VEGNSTR_pft3_Leaf,VEGNSTR_pft3_Root,VEGNSTR_pft4_Leaf,VEGC_pft0_Leaf,VEGC_pft0_Stem,VEGC_pft0_Root,VEGC_pft1_Leaf,VEGC_pft1_Stem,VEGC_pft1_Root,VEGC_pft2_Leaf,VEGC_pft2_Stem,VEGC_pft2_Root,VEGC_pft3_Leaf,VEGC_pft3_Root,VEGC_pft4_Leaf,SHLWC,DEEPC,MINEC,AVLN,INGPP_pft0,INGPP_pft1,INGPP_pft2,INGPP_pft3,INGPP_pft4
56.09269774594577,88.93940430006478,22.30711759084661,38.52084170008311,90.93287134766578,2.0829474925994877,1.7840553522109983,0.5904749393463135,1.4888260245323182,2.32764356136322,5.976457118988037,0.938692855834961,0.0518111001700162,0.0535529371351003,0.4700745463371277,0.4847103625535965,5.017013597488403,52.09486312866211,13.817609691619872,10.27354860305786,43.25796508789063,6.27492127418518,23.528765869140624,16.58576717376709,1.9892574548721316,2.1626609563827515,7.146830701828003,34.03393745422363,279.3462249755859,4053.152969360352,5997.403538614512,12341.834895047918,1006.615308716448,108.742492040433,146.41040868316776,43.37236729152501,51.72699573040008,169.64187131598592
59.71050882473355,90.67799288785318,23.041492210727306,38.59371360811637,82.95020996332168,2.1533387422561647,0.2534129053354263,0.1538827925920486,1.6346966743469238,2.163892674446106,5.580684566497803,0.9049921870231628,0.0490339342504739,0.0486737426370382,0.4520952761173248,0.6402841150760651,4.418478012084961,54.5302188873291,6.06635627746582,6.112270736694336,46.85744132995605,6.6550544738769535,22.405984115600585,16.16956844329834,2.135966992378235,1.698808920383453,6.824685764312744,56.66271514892578,241.3415679931641,4414.69600982666,6258.616194680333,12172.296129389291,1143.590544170278,113.62698045084252,151.98130926867017,43.88902933346108,51.75062971524894,163.06075172424318
58.67841393913841,90.5050815131166,22.84338182794454,38.31722875321284,84.88290993571282,2.21520791053772,0.2906566828489303,0.157905700802803,1.6365564942359925,2.1083755254745484,5.269445657730103,0.9249754309654236,0.0529327921569347,0.049393631145358,0.4336178630590439,0.8269610941410065,4.620397090911865,55.629815673828126,7.131521844863892,6.192495393753052,47.09867668151856,5.922285079956055,31.821576499938963,16.432036781311034,2.4287270069122315,1.9173783302307128,6.531084203720093,69.92254486083985,253.55511474609372,4432.481092834472,6334.568548545241,12341.937472898886,1017.3807035991048,113.2604458012618,151.48595682750457,43.90516172386706,51.46688047461212,164.72335741817952
59.21281782926526,91.37297488066834,22.760797544772505,39.203502033802216,81.7493696719408,2.1384923100471496,0.5815714657306671,0.511641263961792,1.5516333341598512,1.929597282409668,4.536317682266235,0.9487950086593628,0.0507284451276063,0.0494564298540353,0.4574559211730957,0.5808188140392303,4.561481523513794,53.35146675109864,24.788923454284667,25.115655040740968,44.74910430908203,6.91423807144165,23.12876605987549,16.776555442810057,2.130555295944214,1.743903112411499,6.979363536834716,50.17986640930176,246.95191192626956,4359.009437561035,6148.177473981678,12206.986187722909,1117.317807236924,112.52332158628852,151.01312403343618,44.14067875854671,52.16519860066474,164.49586882293224
58.0405785337498,89.5133177484735,22.46648712772003,38.75390105550177,88.9659268528223,2.2436657428741453,0.2946189314126968,0.1629748255014419,1.6586300373077392,2.201456356048584,5.574152994155884,0.9446417689323424,0.0489153649657964,0.0495108805596828,0.4106398433446884,0.8562534630298615,4.6454010009765625,56.1784725189209,6.448754119873047,5.325594043731689,47.50784606933594,6.872345113754273,33.01461410522461,16.659944915771483,1.8833555102348327,1.811868977546692,6.337147665023804,75.34457778930664,258.8960754394531,4476.883117675781,6398.01565502584,12354.85296720229,1084.350662813359,112.85029410347344,150.95006190920247,43.70687174303457,51.31843699924648,165.61483622938394
58.649137169646565,91.31373079710174,22.385353966715048,38.69144219446461,79.65667878985406,2.1940967798233038,0.3402723103761673,0.1734365940093994,1.532183599472046,2.020700216293335,4.929326581954956,0.9797119975090028,0.0487501744180917,0.0479782931506633,0.4090333104133606,1.0705923795700074,4.650586032867432,55.20399932861328,7.81024203300476,5.510511159896851,44.32913017272949,4.682131242752075,20.03084545135498,17.168073081970213,1.9226592659950257,1.7035912156105042,6.279191827774048,91.97239685058594,249.50800628662108,4500.40675201416,6338.129540863633,12209.03145275712,1049.9960572138257,112.95602325471118,150.3805992923677,44.0619670631364,51.54594356566668,163.94668924510478
55.101393811882005,88.10240850178525,22.35014774731826,38.68089532640879,81.14989494681359,2.241105151176453,1.4494906783103942,0.3338984459638595,1.5531499266624451,2.10893177986145,5.056750392913818,0.9313825130462646,0.0520712561905384,0.0497611813247203,0.4673352986574173,0.4082553595304489,4.345017433166504,55.6933349609375,12.25070505142212,7.026285982131958,44.70918083190918,5.740398073196412,27.6143310546875,16.47528076171875,2.065669870376587,1.8866395950317385,7.072779750823974,31.210540199279784,235.3037109375,4125.041213989258,5880.159957388043,12211.37411461901,961.3185210580472,108.94585201656446,146.746797730634,43.33329497966916,51.86997621227056,163.2181476674974
54.762797731906176,89.55157861411571,22.27166977419984,38.92478524912149,90.61515974104404,1.975965642929077,3.198288893699646,2.965230655670166,1.4814941525459289,2.3435601949691773,6.368466663360596,0.9615487873554228,0.0483306225389242,0.0493607986718416,0.4522153884172439,1.357653534412384,5.047020387649536,48.69607200622559,143.68195419311525,134.26845703125,43.07234878540039,20.526412773132325,59.07869300842285,16.909227752685545,1.7787787675857545,1.7625489830970764,6.942309904098511,121.29767074584962,281.1833770751953,4347.442807006836,6241.3535826325415,12273.069464379176,1130.3460275309976,109.90956231933087,148.75191706758923,43.63858907669783,52.0726222101599,168.7501858793199
58.41315397307626,89.49491562086624,22.49630093029409,38.19404930851888,86.26910791099071,2.2376469373703003,0.279271113872528,0.1736158773303032,1.6284030079841614,2.1038526058197022,5.276446294784546,0.962176477909088,0.0492249567061662,0.0518370635807514,0.4174287408590317,1.014502799510956,4.805704498291016,56.45050849914551,6.111919450759888,6.853610610961914,46.51065979003906,4.256145429611206,20.32554397583008,16.942703247070312,2.359624576568604,1.946182417869568,6.299770402908325,87.6173110961914,264.4230377197265,4464.840014648437,6377.055466240645,12348.91065848302,1091.8454529564945,112.82988103162498,150.3919338621199,43.92940501300618,51.2188642244786,166.16957392692566
53.50168148316443,87.6568566493108,22.034841853452964,38.57249821850564,79.4885159701109,2.1489832401275635,3.095191240310669,1.494706964492798,1.511009919643402,2.63142204284668,7.12204418182373,0.9608805775642396,0.0507091518491506,0.0500286396592855,0.4621018797159195,1.206002616882324,4.368711948394775,53.0942569732666,58.16137962341308,24.97259521484375,43.93714561462402,8.26830987930298,42.34048194885254,16.86434841156006,1.8383312821388245,1.9787246346473693,7.107908916473389,100.29240188598632,234.97748565673828,4253.798094177246,5958.915647363663,12168.018736202084,1040.959561168842,108.08931247852745,145.6985484171193,43.300123615004125,51.78986411914229,162.68277984634042
