name,bounds,initial,cmtnum,pftnum
nmax,"[3.6, 10.8]",7.2,21,0
nmax,"[14.0, 42.0]",28.0,21,1
nmax,"[7.6, 22.799999999999997]",15.2,21,2
nmax,"[0.25, 0.75]",0.5,21,3
nmax,"[1.5, 4.5]",3.0,21,4
nmax,"[5.0, 15.0]",10.0,21,5
nmax,"[2.5, 7.5]",5.0,21,6
krb(0),"[-3.5, -10.5]",-7.0,21,0
krb(0),"[-3.75, -11.25]",-7.5,21,1
krb(0),"[-0.75, -2.25]",-1.5,21,2
krb(0),"[-0.8, -2.4000000000000004]",-1.6,21,3
krb(0),"[-1.9, -5.699999999999999]",-3.8,21,4
krb(0),"[-1.9, -5.699999999999999]",-3.8,21,5
krb(0),"[-0.35, -1.0499999999999998]",-0.7,21,6
krb(1),"[-4.8, -14.399999999999999]",-9.6,21,0
krb(1),"[-5.475, -16.424999999999997]",-10.95,21,1
krb(2),"[-4.95, -14.850000000000001]",-9.9,21,0
krb(2),"[-5.0, -15.0]",-10.0,21,1
krb(2),"[-2.5, -7.5]",-5.0,21,2
krb(2),"[-4.25, -12.75]",-8.5,21,3
