name,bounds,initial,cmtnum,pftnum
nfall(0),"[2.4999999999999998e-06, 1.7500000000000002e-05]",1e-05,5,0
nfall(0),"[4.9999999999999996e-06, 3.5000000000000004e-05]",2e-05,5,1
nfall(0),"[3.5000000000000004e-06, 2.45e-05]",1.4e-05,5,2
nfall(0),"[1.75e-05, 0.0001225]",7e-05,5,3
nfall(0),"[2.4999999999999998e-05, 0.00017500000000000003]",0.0001,5,4
nfall(0),"[0.00025, 0.00175]",0.001,5,5
nfall(0),"[0.0008825, 0.006177500000000001]",0.00353,5,6
nfall(0),"[2.4999999999999998e-05, 0.00017500000000000003]",0.0001,5,7
nfall(1),"[2.4999999999999994e-07, 1.75e-06]",1e-06,5,0
nfall(1),"[3.974999999999999e-05, 0.00027824999999999996]",0.000159,5,1
nfall(1),"[4.25e-06, 2.9749999999999998e-05]",1.7e-05,5,2
nfall(2),"[2.4999999999999998e-06, 1.7500000000000002e-05]",1e-05,5,0
nfall(2),"[0.0025120000000000003, 0.017584]",0.010048,5,1
nfall(2),"[1.9999999999999995e-06, 1.4e-05]",8e-06,5,2
nfall(2),"[0.0017200000000000002, 0.012039999999999999]",0.00688,5,3
nfall(2),"[3.2499999999999994e-06, 2.2749999999999997e-05]",1.3e-05,5,4
